audio_path,transcript,emotion
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_back_angry.wav,back,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_bar_angry.wav,bar,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_base_angry.wav,base,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_bath_angry.wav,bath,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_bean_angry.wav,bean,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_beg_angry.wav,beg,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_bite_angry.wav,bite,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_boat_angry.wav,boat,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_bone_angry.wav,bone,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_book_angry.wav,book,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_bought_angry.wav,bought,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_burn_angry.wav,burn,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_cab_angry.wav,cab,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_calm_angry.wav,calm,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_came_angry.wav,came,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_cause_angry.wav,cause,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_chain_angry.wav,chain,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_chair_angry.wav,chair,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_chalk_angry.wav,chalk,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_chat_angry.wav,chat,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_check_angry.wav,check,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_cheek_angry.wav,cheek,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_chief_angry.wav,chief,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_choice_angry.wav,choice,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_cool_angry.wav,cool,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_dab_angry.wav,dab,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_date_angry.wav,date,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_dead_angry.wav,dead,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_death_angry.wav,death,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_deep_angry.wav,deep,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_dime_angry.wav,dime,angry
data/raw/TESS Toronto emotional speech set data\OAF_angry\OAF_dip_angry.wav,dip,angry
